_id,research_title,research_url,research_author,research_institution,research_name,research_volumn,research_year,research_language,research_subject,research_type,research_page
65e6f0cd7436f20b02adf073,희귀 선천성 유전질환의 진단법 개발 및 진단기준 마련  :  신생아 선천성 대사이상 질환 검사의 현황과 의의 = Prespectives and Significance in Korea for Neonatal Screening test of Congenital Metabolic Disorders,https://www.riss.kr/link?id=A18683251,"김성수 (국립보건원 특수질환부 유전질환과) ;  이환석 (국립보건원 특수질환부 유전질환과) ;  손용규 (국립보건원 특수질환부 유전질환과) ;  오범석 (국립보건원 특수질환부 유전질환과) ;  정성철 (국립보건원 특수질환부 유전질환과) ;  이진성 (국립보건원 특수질환부 유전질환과,연세대학교 의과대학)",국립보건연구원,국립보건원보(The Report of National Institute of Health),Vol.37 No.- [2000],2000,Korean,유전질환 ;  선천 대사이상질환 ;  염색체 이상 ;  진단기법 ;  진단 표준화 ;  genetic disease ;  metabolic disease ;  chromosome anomalies ;  diagnosis ;  contiguous gene deletion syndrome,학술저널,390-391(2쪽)
65e6f0d17436f20b02adf074,국내 희귀의약품의 현황 및 과제  :  희귀질환에 대한 의약품 공급을 중심으로 = Current Status and Expectations of Orphan Drugs in Korea : In point of supplying medicines for the rare diseases,https://www.riss.kr/link?id=A75064621,"김희은 (이화여자대학교 임상보건과학대학원) ;  곽혜선 (이화여자대학교 임상보건과학대학원, 이화여자대학교 약학대학)",이화여자대학교 약학연구소,藥學硏究論文集,Vol.- No.17 [2008],2008,Korean,Orphan Drugs ;  Korea Orphan Drug Center ;  Rare Disease,518,학술저널
65e6f0d47436f20b02adf075,「희귀질환관리법」상 의료비 지원 사업에 관한 소고,https://www.riss.kr/link?id=A102638993,최호영(崔浩永),서울대 사회보장법연구회,사회보장법연구(Social Security Law Review),Vol.5 No.2 [2016],2016,Korean,?희귀질환관리법? ;  의료급여 ;  공공부조 ;  ?희귀약품법(Orphan Drug Act 1983)? ;  ?희귀질환법(RARE DISEASES ACT 2002)? ;  ?RARE DISEASES ACT? ;  medical benefit ;  public assistance ;  ?RARE DISEASES ACT 2002?,363,학술저널
65e6f0d87436f20b02adf076,희귀난치질환아를 키우는 부모의 셰어런팅 현황과 양육지원 요구,https://www.riss.kr/link?id=A107953225,이보람,한국아동학회(The Korean Association of Child Studies),한국아동학회 학술발표논문집,Vol.2021 No.11 [2021],2021,Korean,희귀난치성질환아동 ;  만성질환아동 ;  셰어런팅 ;  양육지원요구 ;  SNS,학술저널,81-82(2쪽)
65e6f0dc7436f20b02adf077,희귀난치성질환 장애인의 주관적 건강상태 영향요인에 대한 탐색적 연구 = An exploratory study on factors affecting subjective health status of the disabled with rare and intractable diseases,https://www.riss.kr/link?id=A108176853,김혜진 (연세대학교) ;  이진혁 (연세대학교) ;  김성훈 (연세대학교),한국장애인복지학회,한국장애인복지학(Journal of Disability and Welfare),Vol.56 No.56 [2022],2022,Korean,Disabled Person ;  Rare Diseases ;  Intractable Diseases ;  Subjective Health Status ;  Health Promotion ;  장애인 ;  희귀질환 ;  난치성질환 ;  주관적 건강상태 ;  건강증진,KCI등재,학술저널
65e6f0df7436f20b02adf078,"희귀난치성질환자 지원사업의 정책분석과 개선방안 연구  :  전라북도에서의 정책집행 사례를 중심으로 = Policy Analysis of Support Project for Patients of Rare, Incurable Diseases &Research on Patient Care Improvement: Centered on the Cases of Policy Enforcement in Jeollabukdo",https://www.riss.kr/link?id=A60247073,이현희 (우석대학교 보건의료관리학과),한국자치행정학회,한국자치행정학보(Korean Journal of Local Government & Administration Studies),Vol.26 No.2 [2012],2012,Korean,희귀·난치성질환 ;  정책의 분석틀 ;  지방자치단체 ;  지원정책 ;  관리실태 ;  Rare ;  Incurable Diseases ;  Analysis Frame of Policies ;  Local Government ;  Support Policy ;  Current State of Management,350,KCI등재
65e6f0e37436f20b02adf079,미국의 희귀질환에 대한 의료 지원 정책 = Medical Support Policies for Rare Diseases in the United States,https://www.riss.kr/link?id=A108200125,최은진 ( Choi Eun Jin ),한국보건사회연구원,국제사회보장리뷰(N/A),Vol.21 No.- [2022],2022,-,300,학술저널,55-66(12쪽)
65e6f0e77436f20b02adf07a,희귀질환 연구와 치료제 개발 동향 = Rare Disease Research and Orphan Drug Development,https://www.riss.kr/link?id=A99618273,이신행 (연세대학교) ;  이장익 (연세대학교),한국임상약학회,한국임상약학회지(Korean Journal of Clinical Pharmacy),Vol.23 No.1 [2013],2013,English,rare disease ;  orphan drug ;  orphan designation ;  orphan drug act ;  academic institution,518,KCI등재
65e6f0ea7436f20b02adf07b,희귀질환을 가지고 있는 장애학생의 질환별 특성 및 교육적 지원 고찰 = A Study on the Characteristics and Educational Support for Children with Rare Diseases,https://www.riss.kr/link?id=A103981109,한경근 (단국대학교),한국지체.중복.건강장애교육학회,"지체.중복.건강장애연구(Korean Journal of Physical, Multiple, & Health Disabilities)",Vol.51 No.3 [2008],2008,Korean,rare disease ;  severe and multiple disabilities ;  health care ;  syndromes ;  희귀질환 ;  중도·중복장애 ;  건강관리 ;  증후군 ;  근골격 장애,KCI등재,학술저널
65e6f0ee7436f20b02adf07c,희귀질환을 가진 중증장애학생의 교육적 고려 실태 및 지원방안 = The Practice of Educational Considerations and Support System for Students with Severe Disabilities Who Have Rare Disease,https://www.riss.kr/link?id=A104997647,박윤정 (단국대학교) ;  한경근 (단국대학교),한국특수교육학회,특수교육학연구(Korean Journal of Special Education),Vol.43 No.3 [2008],2008,Korean,희귀질환 ;  중도 중복장애 ;  교육적 고려 ;  지원방안 ;  rare disease ;  severe disabilities ;  educational consideration ;  support system ;  rare disease ;  severe disabilities ;  educational consideration ;  support system,KCI등재,학술저널
