disease_korean_title,symptoms,okt_symptoms,disease_label
5번 염색체 장완 14.3 부분의 미세결손 증후군,중증 정신지체,중증 정신지체,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 언어발달지연,언어 발달 지연,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 상동행동,상동 행동,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 뇌전증,뇌전증,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 뇌기형,뇌 기형,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 특징적인 생김새,특징 적 생김새,83
5번 염색체 장완 14.3 부분의 미세결손 증후군,근긴장저하,근 긴장 저하,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 운동발달지연,운동 발달 지연,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 자폐증상,자폐증 상,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 발가락 합지증,발가락 합 지증,83
5번 염색체 장완 14.3 부분의 미세결손 증후군, 눈맞춤 늦음.,눈맞춤 늦다,83
7번 염색체 장완 36 부분의 미세결손 증후군,발달 지연,발달 지연,92
7번 염색체 장완 36 부분의 미세결손 증후군, 안면 기형,안면 기형,92
13번 염색체 장완의 부분 결손,발달 지연,발달 지연,19
13번 염색체 장완의 부분 결손, 지적 장애,지적 장애,19
13번 염색체 장완의 부분 결손, 뇌전증,뇌전증,19
13번 염색체 장완의 부분 결손, 두개안면기형,두 개 안면 기형,19
13번 염색체 장완의 부분 결손, 중추신경계 기형,중추신경계 기형,19
13번 염색체 장완의 부분 결손, 근골격계 기형,근 골격계 기형,19
13번 염색체 장완의 부분 결손, 비뇨생식기계 기형,비뇨 생식기 계 기형,19
13번 염색체 장완의 부분 결손, 소화기계 기형,소화기 계 기형,19
13번 염색체 장완의 부분 결손, 근긴장 저하증,근 긴장 저하 증,19
13번 염색체 장완의 부분 결손, 선천 심장 질환,선천 심장 질환,19
17번 염색체 장완 21.31 부분의 미세중복 증후군,언어발달 지연,언어 발달 지연,36
17번 염색체 장완 21.31 부분의 미세중복 증후군, 학습장애,학습장애,36
17번 염색체 장완 21.31 부분의 미세중복 증후군, 자폐스펙트럼장애,자폐 스펙트럼 장애,36
17번 염색체 장완 21.31 부분의 미세중복 증후군, 근육긴장저하 등,근육 긴장 저하 등,36
노리에병,시력상실 (blindness),시력 상실 blindness,271
노리에병, 청력상실(deafness),청력 상실 deafness,271
노리에병, 발달지연 등 신경계 이상,발달 지연 등 신경계 이상,271
스티클러 증후군,골격계 이상,골격계 이상,616
스티클러 증후군, 구개열,구개열,616
스티클러 증후군, 특징적인 얼굴 생김새,특징 적 얼굴 생김새,616
스티클러 증후군, 청력소실,청력 소실,616
스티클러 증후군, 눈의 이상 소견,눈 이상 소견,616
PTEN 과오종 종양 증후군,다발성 암증후군으로 위장관의 과오종,다발 성 암 증후군 위 장관 과오 종,153
PTEN 과오종 종양 증후군, 위암,위암,153
PTEN 과오종 종양 증후군, 대장직장암,대장 직장암,153
PTEN 과오종 종양 증후군, 유방,유방,153
PTEN 과오종 종양 증후군, 자궁내막암,자궁 내막 암,153
PTEN 과오종 종양 증후군, 신장암,신장암,153
PTEN 과오종 종양 증후군, 갑상선암,갑상선암,153
PTEN 과오종 종양 증후군, 소아의 경우 대두증,소아 경우 대두 증,153
PTEN 과오종 종양 증후군, 자폐,자폐,153
PTEN 과오종 종양 증후군, 발달지연,발달 지연,153
가족성 칸디다증,피부점막과 전신 장기의 만성적,피부 점막 전신 장기 만 성적,176
가족성 칸디다증, 침습적 진균 (칸디다) 감염,침습 적 진균 칸디다 감염,176
KAT6B 관련 증후군,발달지연,발달 지연,139
KAT6B 관련 증후군, 지적장애,지적장애,139
KAT6B 관련 증후군, 근긴장도 저하,근 긴장도 저하,139
KAT6B 관련 증후군, 생식기 이상,생식기 이상,139
KAT6B 관련 증후군, 골격계 이상,골격계 이상,139
KAT6B 관련 증후군, 심장/소화기 기형,심장 소화기 기형,139
KAT6B 관련 증후군, 영아기의 섭식장애,영 아기 섭식장애,139
