_id,disease_korean_title,related_diseases,diseases_symptoms,cause_diseases
65dc4517da45daab46acd344,5번 염색체 장완 14.3 부분의 미세결손 증후군,5번 염색체 장완의 14.3 부분의 결손 증후군\n(5q14.3 deletion syndrome)\n5번 염색체 장완의 14.3 부분의 단일염색체증\n(Monosomy 5q14.3)\n5번 염색체 장완의 14.3 부분의 결손 증후군\n(Del(5)(q14.3)),"중증 정신지체, 언어발달지연, 상동행동, 뇌전증, 뇌기형, 특징적인 생김새,\n근긴장저하, 운동발달지연, 자폐증상, 발가락 합지증, 눈맞춤 늦음.",5번 염색체 장완의 14.3 부분의 미세결손
65dc451dda45daab46acd346,7번 염색체 장완 36 부분의 미세결손 증후군,미세결실 증후군\n(microdeletion syndrome),"발달 지연, 안면 기형",7번 염색체 장완 유전자 말단 부위의 미세 결실
65dc4525da45daab46acd348,13번 염색체 장완의 부분 결손,13번 염색체 장완 결손\n(13q deletion)\n13장완 부분 결손\n13장완 말단부 결손\n13번 염색체 장완 단일염색체증,"발달 지연, 지적 장애, 뇌전증, 두개안면기형, 중추신경계 기형, 근골격계 기형, 비뇨생식기계 기형, 소화기계 기형, 근긴장 저하증, 선천 심장 질환",13번 염색체 장완의 부분 결실
65dc452cda45daab46acd34a,17번 염색체 장완 21.31 부분의 미세중복 증후군,Chromosome 17q21.31 duplication syndrome,"언어발달 지연, 학습장애, 자폐스펙트럼장애, 근육긴장저하 등",염색체 이상
65dc4534da45daab46acd34c,노리에병,Anderson-Warburg syndrome\nAtrophia bulborum hereditaria\nCongenital progressive oculo-acoustico-cerebral degeneration\nEpiskopi blindness\nFetal iritis syndrome\nNorrie-Warburg syndrome\nOligophrenia microphthalmus\nPseudoglioma congenita\nWhitnall-Norman syndrome,"시력상실 (blindness), 청력상실(deafness), 발달지연 등 신경계 이상",NDP (Norrie disease protein) 유전자와 관련
65dc4536da45daab46acd34e,스티클러 증후군,유전성 진행성 관절안병증\n(Hereditary Progressive Arthro-ophthalmopathy),"골격계 이상, 구개열, 특징적인 얼굴 생김새, 청력소실, 눈의 이상 소견","상염색체 우성- COL2A1, COL11A1, COL11A2 \n상염색체 열성- COL9A1, COL9A2, COL9A3"
65dc4539da45daab46acd350,PTEN 과오종 종양 증후군,카우덴 증후군\n(Cowden syndrome)\n카우덴병\n(Cowden’s disease),"다발성 암증후군으로 위장관의 과오종, 위암, 대장직장암, 유방, 자궁내막암, 신장암, 갑상선암, 소아의 경우 대두증, 자폐, 발달지연","PTEN 유전자의 돌연변이 \n(상염색체 우성 유전이나, 반수는 돌연변이로 발생)"
65dc453bda45daab46acd352,가족성 칸디다증,"가족성 만성 점막피부 칸디다증\n(Familial chronic mucocutaneous candidiasis)\nCARD9 결핍증\n(CARD9 deficiency)\n자가면역 복합내분비병-칸디다증-외배엽성 이상증\n(Autoimmune polyendocrineophaty-candidiasis-ectodermal dystrophy, APECED)\n상염색체 우성 고면역글로불린 E 증후군\n(Autosomal dominant hyper-IgE syndrome)","피부점막과 전신 장기의 만성적, 침습적 진균 (칸디다) 감염",CARD9 유전자 이상
65dc453eda45daab46acd354,KAT6B 관련 증후군,생식기무릎뼈 증후군\n(Genitopatellar syndrome)\nSay-Barber-Biesecker-Young-Simpson variant of Ohdo syndrome,"발달지연, 지적장애, 근긴장도 저하, 생식기 이상, 골격계 이상, 심장/소화기 기형, 영아기의 섭식장애, 성장지연, 구개열, 청력 저하, 치아 이상",KAT6B 유전자의 돌연변이
65dc4540da45daab46acd356,12번 염색체 단완 13 부분의 미세중복,팔리스터-킬리안 증후군\n(Pallister Killian Syndrome),"특징적인 얼굴생김새, 발달 지연, 지적장애, 저긴장증, 수유장애, 탈장, 잠복고환",12p13 부위의 중복에 의해서 발생
