_id,co_date,co_review
65debc4d10cac7425905e881,2020년 2월 6일,"희귀 질환에 대한 정보나 관리가 어려워하시는 분들도 많으신데, 이런 어플은 정말 도움이 많이 될 것 같습니다! 특히 '레어노트 for you' 기능은 정말 좋네요~ 필요한 정보들로 바로바로 갈 수 있어서 편하게 이용할 수 있었습니다. 추후에 건강프로필 등록 시 추가적으로 제공되는 부분은 어떤 것이 있을지 명시해주시면 더욱 좋을 것 같습니다. 아직은 안구관련 희귀 질환들만 있지만 더욱 확대해가실 예정이라니 응원하겠습니다!"
65debc5610cac7425905e883,2020년 2월 9일,"디자인이 심플하고 직관적이라서 좋아요. 희귀질환에 대해 잘 모르고 있던 사람도 관심을 가질 수 있도록 쉽게 구성되어 있어 UX가 편안하다고 느껴집니다. 환자 당사자나, 의료 업계 종사자까지 대상으로 포함하고 있어 앱이 갈수록 유용하게 사용될 거라고 생각해요. 눈이 많이 안 좋아서 황반변성이나 망막질환에 관심이 있는데 도움이 됩니다."
65debc5f10cac7425905e885,2023년 10월 23일,멜라스증후군에 대해서 공부하며 최근 이 앱을 알게된 학생입니다. 이 앱은 개인의 노력만으론 쉽게 닿을 수 없는 정보들을 한데 모아주고 공감대를 형성하며 전국곳곳의 환자들에게 도움을 주는 좋은 앱이라고 생각합니다. 이런 좋은 앱에 멜라스 증후군이 없어 아쉬웠습니다. 가까운 미래에 멜라스 증후군을 레어노트에서 볼 수 있으면 좋겠습니다. 감사합니다 😊
65debc6510cac7425905e887,2021년 7월 13일,어려운 사용자를 위해 글씨크기도 크게 해주셨네요. 감사해요. 가끔 공지들 뜨면서 질환 이야기들 읽을 수 있게 해주시는데요. 레어노트에서 업로드된 자료 중 관심질환에 대해 개인적으로 모아볼 수 있도록 개인 보관함이나 책갈피 기능이 있었으면 좋겠습니다. 다음에 다시 보고 싶을 때 찾기 어렵더라고요.
65debc6c10cac7425905e889,2020년 2월 5일,"아무래도 희귀질환이다보니 환자분들이 최신 의학 소식을 접하기가 어려우실텐데, 본인에게 해당하는 질병을 선택하면 그에 맞는 여러 정보들을 한 눈에 보기 쉽게 나열해주는 기능이 정말 편하네요. 희귀질환 환자분들께 큰 도움이 될 것 같습니다. 주변에 필요하신 분들이 계시다면 적극 알리겠습니다."
65debc6e10cac7425905e88b,2021년 4월 28일,"많은노력을해야할듯합니다. 의도는정말훌륭합니다. 하지만 좀더낳아가야할듯합니다. 의학정보및 보완할게 많습니다, 대중화로충분히갈수있는앱입니다. 자부심을가지고 좀더개선부탁드립니다. 항상 지켜보고 있습니다."
65debc7010cac7425905e88d,2020년 2월 14일,의료업종사자입니다. 일을 의료과련 업 쪽으로하다보니 우리주변에 희귀질환으로 고생하는 이웃들이 많습니다. 레어노트 통하여 주변에 희귀질환의 정보를 쉽고 빠르게 접하여 치료에 많은 도움이 될 수 있는 앱이 되었으면 합니다. 이런점에서 레어노트가 많은분들에게 희망적인 어플이 될 것같습니다. 메뉴구성도 쉽고 눈으로 보기에도 디자인도 멋집니다!
65debc7210cac7425905e88f,2020년 2월 14일,평소에 잘알지못했던 희귀질환병들을 한눈에 볼수있었고 앱차체가 간단하고 심플해서 좋았습니다. 평소에 의학용어나 자료에 관심이 많았는데 의료진분과 환자당사자분들 대상으로 되어서 좀더 희귀칠환에대해 알아보기가 더 수월하게 느껴졌던거 같아요.
65debc7410cac7425905e891,2020년 2월 12일,"희귀질환에 대한 자료가 많아지길 기원하며, 환우들에게 큰 도움이될 수 있는 앱으로 자리잡길 바랍니다. 개인적으로 자가면역질환에도 관심이 큰 만큼 레어노트에도 관심 갖도록 하겠습니다."
65debc7710cac7425905e893,2020년 2월 6일,"쉽게 접하기 힘든 희귀 질환에 대한 정보들을 상세히 알 수 있어 편리하고, 또 진료기록까지 기록하며 관리할 수 있어 좋은 앱인 것 같습니다 👍🏻 더 다양한 희귀병 질환 항목을 선택할 수 있으면 더 좋겠네요 :)"
