_id,title_disease,date,post_contents,reply_contents
65dbe0a7a48a1fe6c0dcc313,소아피부근염\n질환명 : 기타 피부근염 (M33.1),2024-02-20 16:54,2015년생 딸아이가 기타피부근염 진단받았는데\n의료지원대상인지 궁금합니다,"안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n‘희귀질환 산정특례’ 및 ‘희귀질환자 의료비지원사업’은 「희귀질환관리법」에 따라 지정 및 공고한 1,248개 희귀질환 목록을 대상질환으로 하고 있으며, '기타 피부근염(상병코드:M33.1, Other dermatomyositis)'에 대해서도 의료비를 지원합니다.\n\n『희귀질환 산정특례』 제도는 고비용이 발생하는 희귀질환자의 의료비 부담을 낮추기 위해 건강보험에서 환자 본인이 부담하는 비용을 10%로 낮춰주는 제도이며 '국민건강보험법 본인일부부담금 산정특례에 관한 기준 고시'에 따라 국민건강보험공단에 등록합니다.\n\n『희귀질환 산정특례』 제도는 대상질환 및 질환에 따른 '검사기준 및 필수 검사항목'이 정해져 있으며, 질환별 '검사기준 및 필수 검사항목'은 등 『희귀질환 산정특례』 대상질환, 의료비지원 범위, 등록기준, 지원기간 등에 대한 사항은 담당부서인 국민건강보험공단(☎1577-1000)을 통해 안내 받으실 수 있습니다.\n\n헬프라인에서 안내하고 있는 『희귀질환자 의료비지원사업』은 희귀질환 산정특례에 등록된 일부 저소득층 건강보험가입자를 지원하는 사업으로써, 산정특례에 등록 된 후 환자가 거주하는 주소지 보건소를 방문하여 지원 신청을 하시면 환자가구와 부양의무자(환자와 별도의 주민등록표에 기재되어 있고 생계와 주거를 달리하는 환자의 부모 또는 자녀)가구의 소득 재산조사를 거쳐 지원기준에 적합할 경우 신청일로부터 발생한 요양급여 중 본인부담금(산정특례 등 건강보험가입자 혜택 적용 후 잔여비용)을 지원해 드리는 사업입니다.\n\n『희귀질환자 의료비지원사업』의 지원범위는 해당질환 및 해당질환으로 인한 합병증의 진료에 소요된 의료비 중 요양급여분의 본인부담금이며 대상 질환과 관련된 합병증 진료시에도 입원과 외래의 구분 없이 지원 가능합니다. 단, 비급여, 전액 본인부담금(100/100), 선별급여, 예비급여, 2인실ㆍ3인실 입원료는 지원범위에서 제외되며, 신청일 이전에 발생된 비용은 소급지원이 되지 않습니다.\n\n이밖에 『희귀질환자 의료비지원사업』의 지원조건, 신청서식 및 구비서류, 가구원수에 따른 기준 및 세부적인 신청안내 등에 대해서는 주소지 관할 보건소 담당자에게 안내를 받으시고 신청하여 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다. "
65dbe0a7a48a1fe6c0dcc314,상계백병원에서 근무력증 진단을 받았습니다.\n질환명 : 중증근무력증 (G70.0),2024-02-20 16:32,아버지께서 중증근무력증 진단을 받으셨는데 서울대학병원에서 다시한번 검사를 받을수 있는지 여쭤봅니다.,안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n개별 의료기관을 통한 진단 여부는 해당 의료기관을 통해 문의하여 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다. 
65dbe0a7a48a1fe6c0dcc315,국민연금 장애연금\n질환명 : 특발성 무형성빈혈 (D61.3),2024-02-20 10:57,"희귀질환 의료비 지원사업 국민연금공단에서 나오는 장애연금, 노령연금도 소득에 반영되나요???","안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n『희귀질환자 의료비지원사업』은 희귀질환 산정특례에 등록된 일부 저소득층 건강보험가입자를 지원하는 사업으로써, 산정특례에 등록 된 후 환자가 거주하는 주소지 보건소를 방문하여 지원 신청을 하시면 환자가구와 부양의무자(환자와 별도의 주민등록표에 기재되어 있고 생계와 주거를 달리하는 환자의 부모 또는 자녀)가구의 소득 재산조사를 거쳐 지원기준에 적합할 경우 신청일로부터 발생한 요양급여 중 본인부담금(산정특례 등 건강보험가입자 혜택 적용 후 잔여비용)을 지원해 드리는 사업입니다.\n\n국민연금 수령액은 공적이전소득에 해당하며, 소득에서 공제되는 항목에 포함되어 있지 않습니다.\n\n이밖에 『희귀질환자 의료비지원사업』의 지원조건, 신청서식 및 구비서류, 가구원수에 따른 기준 및 세부적인 신청안내 등에 대해서는 주소지 관할 보건소 담당자에게 안내를 받으시고 신청하여 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다. "
65dbe0a8a48a1fe6c0dcc316,희귀질환 의료비 지원사업 신청후에....\n질환명 : 항인지질항체증후군 (D68.6),2024-02-20 00:26,24년 01월16일 신청후ㅡ결과는?\n언제 결과를 알수 있나요??\n빨리좀 처리 해주세요,"안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n『희귀질환자 의료비지원사업』은 희귀질환 산정특례에 등록된 일부 저소득층 건강보험가입자를 지원하는 사업으로써, 산정특례에 등록 된 후 환자가 거주하는 주소지 보건소를 방문하여 지원 신청을 하시면 환자가구와 부양의무자(환자와 별도의 주민등록표에 기재되어 있고 생계와 주거를 달리하는 환자의 부모 또는 자녀)가구의 소득 재산조사를 거쳐 지원기준에 적합할 경우 신청일로부터 발생한 요양급여 중 본인부담금(산정특례 등 건강보험가입자 혜택 적용 후 잔여비용)을 지원해 드리는 사업입니다.\n\n지원대상자 여부 결정은 지원신청일부터 30일~60일이 소요되며, 조사 시일 연장이 불가피한 경우에는 그 처리기한을 추가로 연장할 수 있습니다.\n- 소득재산조사 처리 현황은 주민등록지 관할 보건소를 통해 확인 가능합니다.\n\n이밖에 『희귀질환자 의료비지원사업』의 지원조건, 신청서식 및 구비서류, 가구원수에 따른 기준 및 세부적인 신청안내 등에 대해서는 주소지 관할 보건소 담당자에게 안내를 받으시고 신청하여 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다. "
65dbe0a9a48a1fe6c0dcc317,의료비지원 부양의무자,2024-02-19 17:07,24년 기준 부양의무자 재산기준이 상향되었다고 기사보았는데요 언제부터시행가능한가요\n보건소담장자는 전혀 들은바가 없다고만하는데요\n금액은 공시지가기준인지 어떤기준인지 알고싶고요\n빨리 안내해주시면 신청하려고합니다,"안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n『희귀질환자 의료비지원사업』은 희귀질환 산정특례에 등록된 일부 저소득층 건강보험가입자를 지원하는 사업으로써, 산정특례에 등록 된 후 환자가 거주하는 주소지 보건소를 방문하여 지원 신청을 하시면 환자가구와 부양의무자(환자와 별도의 주민등록표에 기재되어 있고 생계와 주거를 달리하는 환자의 부모 또는 자녀)가구의 소득 재산조사를 거쳐 지원기준에 적합할 경우 신청일로부터 발생한 요양급여 중 본인부담금(산정특례 등 건강보험가입자 혜택 적용 후 잔여비용)을 지원해 드리는 사업입니다.\n\n2024년 지침은 현재 개정이 진행 중에 있으며, 지침 개정이 완료되면 헬프라인 누리집을 통해 안내 드릴 예정입니다.\n- 참고로 주택 등 일반재산은 공시자가를 기준을 산정합니다.\n\n이밖에 『희귀질환자 의료비지원사업』의 지원조건, 신청서식 및 구비서류, 가구원수에 따른 기준 및 세부적인 신청안내 등에 대해서는 주소지 관할 보건소 담당자에게 안내를 받으시고 신청하여 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다. "
65dbe0a9a48a1fe6c0dcc318,희귀병 약국 서울에만있나요 서울에 몇곳인가요,2024-02-19 16:23,진행성 연수마비 판정받아서요 구음장애가 심해요 삼킨장애 너무심해요 희귀병 약국을 찿고있어요 아시는분 ᆢ 연수마비환자를 아시는분ᆢ\n좀 도와주셔요,"안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n헬프라인은 '희귀질환정보-희귀질환정보'를 통해 1,248개 희귀질환 중 일부질환에 대한 정보를 제공하고 있습니다.\n\n다만, 헬프라인은 '희귀질환정보'를 통한 기본적인 의학정보만 제공 가능하며, 개별 의료기관 및 약국에 대한 정보는 제공하고 있지 않으므로 이 점 양해 부탁드립니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다. "
65dbe0a9a48a1fe6c0dcc319,디스토니아 신약 임상 신청\n질환명 : 선천성 (흉골유돌근)사경 (Q68.0),2024-02-17 09:21,디스토니아로 인해 20년간 고통중에 있습니다 \n2019년 부터 카이스트 OOO교수팀에서\n획기적인 약을 개발하고 올해 임상에 들어간다는 것을 교수님의 메일을 통해 알게 되었습니다\n^뉴로토브^ 라는 신약개발 기관에 전화를 했지만 연결이 되지 않습니다\n희망의 끈을 꼭 붙잡고 싶습니다\n만약 임상에 들어간다면 대상이 되고 싶습니다\n진행상황을 알아봐주시고 \n좋은 소식 전해주십시오\n늘 감사합니다,"안녕하세요?\n \n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n헬프라인은 희귀질환정보, 희귀질환자 의료비지원사업 등 지원사업 안내, 온라인상담실 운영, 전문교육자료 제공 등의 정보를 제공하는 대국민 이용 누리집입니다.\n\n민간차원의 신약개발에 대해서는 헬프라인에서 안내하는 사항이 아니므로, 해당 의료진 및 제약회사 등을 통해 안내 받아 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다."
65dbe0aaa48a1fe6c0dcc31a,질병코드확인,2024-02-16 14:18,수고많으십니다\n상병코드가 G12 척수성 근위축및 관련증후군\nG12.21 산발형 근위축 측상 경화증으로 진단서에 적혀있습니다\n희귀질환 대상질환으로 지원가능한지요?\n지원이 가능하다면 장애정도결정서에 \n주장애유형 지체(상지기능)/심한장애\n부장애유형 지체(하지기능)/심한장애\n종합장애정도에 심한장애로\n나와있는데 간병비 지원 가능한지요?\n감사합니다~~,"안녕하세요?\n \n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n‘희귀질환 산정특례’ 및 ‘희귀질환자 의료비지원사업’은 「희귀질환관리법」에 따라 지정 및 공고한 1,248개 희귀질환 목록을 대상질환으로 하고 있으며, '산발형 근위축측삭경화증(상병코드:G12.21, Sporadic amyotrophic lateral sclerosis)'에 대해서도 의료비를 지원합니다.\n\n『희귀질환 산정특례』 제도는 고비용이 발생하는 희귀질환자의 의료비 부담을 낮추기 위해 건강보험에서 환자 본인이 부담하는 비용을 10%로 낮춰주는 제도이며 '국민건강보험법 본인일부부담금 산정특례에 관한 기준 고시'에 따라 국민건강보험공단에 등록합니다.\n\n『희귀질환 산정특례』 제도는 대상질환 및 질환에 따른 '검사기준 및 필수 검사항목'이 정해져 있으며, 질환별 '검사기준 및 필수 검사항목'은 등 『희귀질환 산정특례』 대상질환, 의료비지원 범위, 등록기준, 지원기간 등에 대한 사항은 담당부서인 국민건강보험공단(☎1577-1000)을 통해 안내 받으실 수 있습니다.\n\n헬프라인에서 안내하고 있는 『희귀질환자 의료비지원사업』은 희귀질환 산정특례에 등록된 일부 저소득층 건강보험가입자를 지원하는 사업으로써, 산정특례에 등록 된 후 환자가 거주하는 주소지 보건소를 방문하여 지원 신청을 하시면 환자가구와 부양의무자(환자와 별도의 주민등록표에 기재되어 있고 생계와 주거를 달리하는 환자의 부모 또는 자녀)가구의 소득 재산조사를 거쳐 지원기준에 적합할 경우 신청일로부터 발생한 요양급여 중 본인부담금(산정특례 등 건강보험가입자 혜택 적용 후 잔여비용)을 지원해 드리는 사업입니다.\n\n『희귀질환자 의료비지원사업』의 지원범위는 해당질환 및 해당질환으로 인한 합병증의 진료에 소요된 의료비 중 요양급여분의 본인부담금이며 대상 질환과 관련된 합병증 진료시에도 입원과 외래의 구분 없이 지원 가능합니다. 단, 비급여, 전액 본인부담금(100/100), 선별급여, 예비급여, 2인실ㆍ3인실 입원료는 지원범위에서 제외되며, 신청일 이전에 발생된 비용은 소급지원이 되지 않습니다.\n\n또한 문의하신 질환은 보조기기 구입비, 인공호흡기 및 기침유발기 대여료, 간병비에 대해서도 지원 가능합니다. 간병비는 '장애정도판정기준고시에 의거한 장애의 정도가 심한 장애인 중 지체 또는 뇌병변 장애정도가 별도의 의학적 기준(의학적 기준 별도표시)을 충족하는 자(기존 장애등급 지체 또는 뇌병변 장애 1급 기준에 준하는 기준임)'에 대해 지원합니다.\n- 보조기기 구입비, 인공호흡기 및 기침유발기 대여료는 의료급여 수급권자는 '의료급여사업'에서 차상위 본인부담경감대상자는 '차상위 본인부담경감대상자 지원사업'에서 각각 지원하며, ‘희귀질환자 의료비지원사업’은 소득재산기준을 만족하는 건강보험가입자를 대상자로 함\n- 간병비는 의료급여 수급권자, 차상위 본인부담경감대상자, 소득재산기준을 만족하는 건강보험가입자 모두 지원 가능\n\n이밖에 『희귀질환자 의료비지원사업』의 지원조건, 신청서식 및 구비서류, 가구원수에 따른 기준 및 세부적인 신청안내 등에 대해서는 주소지 관할 보건소 담당자에게 안내를 받으시고 신청하여 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다."
65dbe0aba48a1fe6c0dcc31b,"희귀질환자 의료비 지원 제도, 2024년 업데이트",2024-02-14 23:23,"희귀질환자 의료비 지원 제도의 대상자 선정 기준 중으로 소득, 재산, 질병코드가 있는데, 소득 기준은 중위 소득의 몇 퍼센트로 정해져서 계산을 해보면 알 수 있지만, 재산 기준은 알 수 없습니다. 그리고 질병코드는 최근에 업데이트 된 걸로 알고 있구요.\n\n1. 2024년 버전으로 업데이트 된 희귀질환자 의료비 지원의 자료(PDF)와 재산 기준은 언제 게시가 될 예정인지 궁금합니다.\n2. 이전에는 1월 중에는 그 해 내용으로 업데이트 된 자료가 이 홈페이지 메뉴 중 정보. 알림 항목의 공지사항 같은 곳에 올라오던데, 2024년 버전으로 업데이트 된 자료(PDF)는 어디서 확인할 수 있나요?\n3. 아직 2024년도 재산 기준이 정해지지 않았다면, 지금은 2023년도 기준으로 심사를 하는 건가요?\n\n감사합니다.","안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n『희귀질환자 의료비지원사업』은 희귀질환 산정특례에 등록된 일부 저소득층 건강보험가입자를 지원하는 사업으로써, 산정특례에 등록 된 후 환자가 거주하는 주소지 보건소를 방문하여 지원 신청을 하시면 환자가구와 부양의무자(환자와 별도의 주민등록표에 기재되어 있고 생계와 주거를 달리하는 환자의 부모 또는 자녀)가구의 소득 재산조사를 거쳐 지원기준에 적합할 경우 신청일로부터 발생한 요양급여 중 본인부담금(산정특례 등 건강보험가입자 혜택 적용 후 잔여비용)을 지원해 드리는 사업입니다.\n\n『희귀질환자 의료비지원사업』의 지원범위는 해당질환 및 해당질환으로 인한 합병증의 진료에 소요된 의료비 중 요양급여분의 본인부담금이며 대상 질환과 관련된 합병증 진료시에도 입원과 외래의 구분 없이 지원 가능합니다. 단, 비급여, 전액 본인부담금(100/100), 선별급여, 예비급여, 2인실ㆍ3인실 입원료는 지원범위에서 제외되며, 신청일 이전에 발생된 비용은 소급지원이 되지 않습니다.\n\n2024년 소득재산기준을 포함한 지침 개정사항은 현재 개정이 진행 중에 있으며, 지침 개정 완료 시 헬프라인을 통해 안내 드릴 예정입니다.\n- 대상질환, 소득재산기준 : 정보/알림-공지사항\n- 지침개정 최종 pdf 파일 : 정보/일림-고시/지침\n- 신청서식 : 정보/알림-민원서식\n- 지침관련 주요내용 : 지원사업-의료비지원사업\n\n2024년 신규신청자는 2024년 지침 및 소득재산기준을 적용하며, 이밖에 『희귀질환자 의료비지원사업』의 지원조건, 신청서식 및 구비서류, 가구원수에 따른 기준 및 세부적인 신청안내 등에 대해서는 주소지 관할 보건소 담당자에게 안내를 받으시고 신청하여 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다. "
65dbe0aba48a1fe6c0dcc31c,미분화결합조직 하시모토병\n질환명 : 베체트병 (M35.2),2024-02-13 19:55,혈액검사 PhD 만성B형간염 헤르페스바이러스 대상포진 1년동안 감기가 낮지않아 내원\n베체트의심 위소화기궤양 위미란 결장염 헬리코박터균 치료중 일상생활이 어렵고 바이러스 치료중 신청합니다 입술에 만성 각질과 감각이상이 있고 아버지가 X연관비늘증 하지지체 장애 협심증 심근경색으로 사망하셨습니다.결합조직이있고. 섬유근육통과 하시모토병 원인질환검사 모든유전자 검사 의뢰드립니다.,"안녕하세요?\n\n1:1 상담을 통해 문의하신 사항에 대해 답변 드립니다.\n\n'희귀질환 유전자 진단지원사업'은 현재 신규 사업을 준비 중에 있습니다.\n- '희귀질환 유전자 진단지원사업' 대상질환, 지원범위 등에 대해서는 추후 헬프라인을 통해 안내드릴 예정이므로 참고해 주시기 바랍니다.\n\n헬프라인 누리집을 방문해 주셔서 감사합니다."
