	research_title	research_subject
0	Collaboration through the Asia Pacific MPS Network (APMN), Asia Pacific MPS Registry (APMR), and Association for Research of MPS & Rare Diseases (ARMRD) = Collaboration through the Asia Pacific MPS Network (APMN), Asia Pacific MPS Registry (APMR), and Association for Research of MPS & Rare Diseases (ARMRD)	Mucopolysaccharidosis ;  Rare diseases ;  APMN ;  APMR ;  ARMRD
1	Newborn Screening for Lysosomal Storage Diseases in Taiwan	Enzyme replacement therapy ;  Fluorimetry ;  Hematopoietic stem cell transplantation ;  Lysosomal storage disease ;  Newborn screening ;  Tandem mass spectrometry
2	Newborn Screening of Lysosomal Storage Diseases, Including Mucopolysaccharidoses	Newborn screening ;  Lysosomal storage disease ;  Mucopolysacchariodis
3	Case Reports : A Rare Case of Fat-Forming Variant of Solitary Fibrous Tumor Presenting as a Pleural Mass = Case Reports : A Rare Case of Fat-Forming Variant of Solitary Fibrous Tumor Presenting as a Pleural Mass	Solitary Fibrous Tumors ;  Pleura ;  Lipoma
4	Enzyme Replacement Therapy for Lysosomal Storage Disease in Indonesia	Mucopolysaccharidoses ;  Enzyme replacement therapy ;  Indonesia ;  Rare diseases
5	The role of de novo variants in complex and rare diseases pathogenesis	De novo variants ;  Autistic disorder ;  Congenital heart disease ;  Schizophrenia ;  Rare diseases.
6	A Review of Gaucher Disease in Korea	Gaucher disease ;  Glucocerebrosidase ;  GBA1 ;  Biomarkers ;  Enzyme replacement therapy ;  Substrate reduction therapy
7	The Role of Enzyme Replacement Therapy in Fabry Disease in Cardiology Perspective	Electrocardiogram ;  Echocardiography ;  Cardiac magnetic resonance ;  Histopathology
8	Case Reports : Pigmented Mammary Paget Disease with Reticulated Features: A Rare Variant of Mammary Paget Disease = Case Reports : Pigmented Mammary Paget Disease with Reticulated Features: A Rare Variant of Mammary Paget Disease	Pigmented mammary Paget disease ;  Reticulated pattern
9	Case Report : Nontuberculous Mycobacterial Lung Disease Caused by Mycobacterium chelonae: A Case Report = Case Report : Nontuberculous Mycobacterial Lung Disease Caused by Mycobacterium chelonae: A Case Report	Nontuberculous Mycobacteria ;  Bronchiectasis ;  Mycobacterium chelonae
10	진성 적혈구증다증 환자에서 발현한 Erdheim-Chester Disease = A Case of Erdheim-Chester Disease Who Has Policythemia Vera	Erdheim-Chester disease ;  Polycythemia vera ;  Bone pain
11	Case Report : Nontuberculous Mycobacterial Lung Disease Caused by Mycobac-teriumlentiflavum in a Patient with Bronchiectasis = Case Report : Nontuberculous Mycobacterial Lung Disease Caused by Mycobac-teriumlentiflavum in a Patient with Bronchiectasis	Nontuberculous Mycobacteria ;  Bronchiectasis ;  Mycobacterium Infections ;  Nontuberculous
12	Nontuberculous Mycobacterial Lung Disease Caused by Mycobacterium terrae in a Patient with Bronchiectasis = Nontuberculous Mycobacterial Lung Disease Caused by Mycobacterium terrae in a Patient with Bronchiectasis	Bronchiectasis ;  Mycobacterium Infections ;  Nontuberculous
13	Regulation of Systemic Energy Homeostasis by Peripheral Serotonin	Serotonin ;  Diabetes ;  Obesity
14	Mucolipidosis Type II in Vietnam	Mucolipidosis type II ;  I-cell disease
15	Variable Phenotypes of ZC4H2-Associated Rare Disease in Six Patients	Wieacker syndrome ;  Intellectual disability ;  Arthrogryposis
16	Novel Therapeutic Approaches to Mucopolysaccharidosis Type III	Mucopolysaccharidosis type III ;  Sanfilippo disease ;  Lysosomal storage disease ;  Heparin sulfate ;  Gene therapy ;  Substrate reduction therapy
17	Diagnosis and Management of Patients with Mucopolysaccharidoses in Malaysia	Mucopolysaccharidoses ;  Enzyme replacement therapy
18	Phenotypic Characterization of MPS IIIA (Sgshmps<sup>3a</sup>/ Sgshmps<sup>3a</sup>) Mouse Model	MPS IIIA ;  Mouse model ;  Phenotypic characterization
19	Clinical Problems in ML II and III: Extra-skeletal Manifestations	Mucolipidoses II and III ;  Extra-skeletal ;  Clinical manifestations
20	Mucopolysaccharidosis Type III: Overview and Future Therapeutic Approaches	Mucopolysaccharidosis type III ;  Sanfilippo syndrome ;  Treatment
21	Keratanase II Digestion Accompanied with a Liquid Chromatography/Tandem Mass Spectrometry for Urinary Keratan Sulfate Quantitative Analysis	Mucopolysaccharidosis IV ;  Keratan sulfate (KS) ;  Keratanase ;  Liquid chromatography/tandem mass spectrometry (LC-MS/MS) ;  Two-dimensional electrophoresis
22	A Brief Review of Preclinical Researches and Clinical Trials of Oxytocin on Behavior-Related Phenotypes in Prader-Willi Syndrome	Prader-Willi syndrome ;  Oxytocin
23	Overview of Mucolipidosis Type II and Mucolipidosis Type III &#x03B1;/&#x03B2; = Overview of Mucolipidosis Type II and Mucolipidosis Type III &#x03B1;/&#x03B2;	Mucolipidosis ;  I-cell disease ;  GNPTAB
24	Gene Expression Related to Cognitive Function in Growth Hormone-treated Mice with Prader-Willi Syndrome	Prader-Willi syndrome ;  Snord116del mice ;  Cognitive function ;  Growth hormone
