_id,asmGrd,asmGrdNm,asmNm,yadmNm,ykiho
65f10f59b5a3f17e1ea35b3c,3,3회연속,급성기 뇌졸중,학교법인)동의병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b3d,3,3회연속,만성폐쇄성폐질환,학교법인)동의병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b3e,3,3회연속,폐렴,학교법인)동의병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b3f,3,3회연속,급성기 뇌졸중,의료법인정화의료재단 봉생기념병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz
65f10f59b5a3f17e1ea35b40,3,3회연속,만성폐쇄성폐질환,의료법인정화의료재단 봉생기념병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz
65f10f59b5a3f17e1ea35b41,3,3회연속,폐렴,의료법인정화의료재단 봉생기념병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz
65f10f59b5a3f17e1ea35b42,3,3회연속,만성폐쇄성폐질환,의료법인 은성의료재단 좋은강안병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b43,2,2회연속,급성기 뇌졸중,의료법인 은성의료재단 좋은강안병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b44,3,3회연속,폐렴,의료법인 은성의료재단 좋은강안병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b45,3,3회연속,폐렴,의료법인은성의료재단좋은삼선병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b46,3,3회연속,만성폐쇄성폐질환,의료법인은성의료재단좋은삼선병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b47,3,3회연속,급성기 뇌졸중,의료법인은성의료재단좋은삼선병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b48,3,3회연속,폐렴,영도병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b49,3,3회연속,폐렴,동래봉생병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b4a,3,3회연속,만성폐쇄성폐질환,좋은문화병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b4b,3,3회연속,폐렴,좋은문화병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b4c,3,3회연속,관상동맥우회술,비에이치에스한서병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b4d,3,3회연속,폐렴,비에이치에스한서병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b4e,1,최근우수,급성기 뇌졸중,대동병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b4f,1,최근우수,혈액투석,대동병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b50,1,최근우수,만성폐쇄성폐질환,대동병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b51,2,2회연속,폐렴,대동병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b52,3,3회연속,관상동맥우회술,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b53,3,3회연속,급성기 뇌졸중,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b54,3,3회연속,혈액투석,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b55,3,3회연속,대장암,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b56,3,3회연속,유방암,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b57,3,3회연속,폐암,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b58,3,3회연속,만성폐쇄성폐질환,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b59,3,3회연속,위암,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b5a,3,3회연속,폐렴,고신대학교복음병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b5b,3,3회연속,대장암,재단법인천주교부산교구유지재단 메리놀병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz
65f10f59b5a3f17e1ea35b5c,3,3회연속,폐렴,재단법인천주교부산교구유지재단 메리놀병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz
65f10f59b5a3f17e1ea35b5d,3,3회연속,폐렴,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b5e,3,3회연속,만성폐쇄성폐질환,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b5f,3,3회연속,위암,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b60,3,3회연속,폐암,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b61,3,3회연속,유방암,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b62,3,3회연속,대장암,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b63,3,3회연속,관상동맥우회술,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b64,3,3회연속,혈액투석,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b65,3,3회연속,급성기 뇌졸중,부산대학교병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f59b5a3f17e1ea35b66,3,3회연속,만성폐쇄성폐질환,부산성모병원(재단법인 천주교부산교구유지재단),JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b67,3,3회연속,폐렴,부산성모병원(재단법인 천주교부산교구유지재단),JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b68,3,3회연속,급성기 뇌졸중,부산성모병원(재단법인 천주교부산교구유지재단),JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDQjJDgz
65f10f59b5a3f17e1ea35b69,3,3회연속,폐렴,인제대학교부산백병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b6a,3,3회연속,급성기 뇌졸중,인제대학교부산백병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b6b,3,3회연속,혈액투석,인제대학교부산백병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b6c,3,3회연속,관상동맥우회술,인제대학교부산백병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b6d,3,3회연속,대장암,인제대학교부산백병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f59b5a3f17e1ea35b6e,3,3회연속,유방암,인제대학교부산백병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz
