_id,news_company,news_time,news_title,news_description
65dd5c07aebc8616b220fa0e,MBC,입력 2023-12-29 17:10,"건보, 본인부담금 낮춰주는 희귀질환 83개 추가‥3만4천명 혜택","자료사진\n희귀질환자의 의료비 본인부담금을 낮춰주는 건강보험 산정특례 대상에 83개 질환이 새로 추가돼 3만 4천 명가량이 의료비 지원을 받게 됩니다.\n\n국민건강보험공단은 내년 1월 1일부터 산정특례 적용 질환 대상이 기존 1천 165개에서 1천 248개로 확대된다고 밝혔습니다.\n\n산정특례는 중증질환자의 의료비 부담을 덜어주기 위해 입원 20%, 외래 30∼60%인 건강보험 본인부담률을 0∼10%로 낮춰주는 제도입니다.\n\n산정특례는 유병인구가 2만 명 이하로 매우 적고 명확한 진단기준이 있는 희귀질환, 유병인구 200명 이하의 진단법이 있는 극희귀질환 등이 대상입니다.\n\n이번에 추가된 질환은 유전자 돌연변이로 눈과 치아 및 손가락에 이상이 생기는 '안치지의 형성이상' 등 희귀질환이 10개고, 극희귀질환과 기타염색체이상질환은 각각 46개와 27개입니다.\n\n공단은 산정특례 고시상 혈우병의 하위 질환으로 분류됐던 `간질환에 의한 응고인자 결핍`을 별개의 상병으로 구분해 등록 기준을 개선하기로 했습니다.\n\n공단은 이번 기준 변경에 따라 그간 장기간 고액 진료로 지원이 필요했던 중증 간질환 환자들이 더 많이 부담을 덜 수 있을 것으로 내다봤습니다."
65dd5c09aebc8616b220fa0f,MBC,입력 2023-11-30 14:51,국가관리대상 희귀질환 83개 신규 지정‥내년부터 국가 지원,"자료사진\n질병관리청이 각막 내피세포에 문제가 생겨 각막에 반복적으로 부종과 심한 통증을 동반하는 질환인 '푹스디스트로피' 등을 포함해 83개 질환을 국가관리대상 희귀질환으로 신규 지정했다고 밝혔습니다.\n\n질병청은 지난 14일 열린 희귀질환관리위원회 심의에서 기존 국가관리대상 희귀질환 1천165개에서 83개가 추가돼 1천248개로 확대됐다고 설명했습니다.\n\n희귀질환이란 환자가 2만 명 아래거나, 진단이 어려워 환자 수를 알 수 없는 질환으로 정부는 '희귀질환관리법'에 따라 매년 국가관리대상 희소질환을 확대하고 있습니다.\n\n질병청의 '2021년 희귀질환자 통계 연보'를 보면 희귀질환 신규 발생자는 5만 5천874명으로, 이들이 지출한 1인당 평균 총 진료비는 본인부담금 64만 원을 포함해 617만 원으로 집계됐습니다.\n\n정부는 유전자 검사 비용을 지원하는 희귀질환 진단 지원사업에 이번에 신규 지정된 희귀질환을 포함시켜 희귀질환자가 적기에 치료받을 수 있도록 할 예정입니다.\n\n신규 희소질환 지정 현황은 희귀질환 헬프라인 홈페이지에서 확인할 수 있습니다."
65dd5c0aaebc8616b220fa10,MBC,입력 2023-10-11 17:36,내년 희귀질환자 의료비 지원 예산 31% 줄어,"자료사진\n질병관리청의 내년도 희귀질환자 의료비 지원사업 예산이 올해보다 30% 넘게 줄어든 것으로 나타났습니다.\n\n국회 보건복지위원회 소속 더불어민주당 김영주 의원이 질병청의 2024년도 예산안을 분석한 결과 희귀질환자 의료비 지원사업 예산은 올해 430억 원에서 내년 296억 원으로 31% 줄어들었습니다.\n\n희귀질환자 의료비 지원사업은 저소득층 희귀질환자의 경제적 부담을 낮춰주기 위해 의료비와 간병비, 장애인 보장구 구입비 등을 지원하는 사업으로 매년 2만 명 이상의 희귀질환자들이 혜택을 받고 있습니다.\n\n애초 질병청은 희귀질환자 의료비 지원사업 대상 질환을 확대하고자 10% 증액한 472억 원을 요구했으나 정부에서 받아들여지지 않았습니다.\n\n내년도 예산으로 책정된 296억 원은 질병청 요구의 62% 수준입니다.\n\n김 의원은 ""희귀질환자 의료비 지원사업 예산 삭감은 가뜩이나 질병으로 고통받는 희귀질환자와 가족들을 사지로 내보내는 것"" 이라며 ""희귀질환자에 대한 지원을 강화하고 지원 대상도 확대해야 한다""고 강조했습니다."
65dd5c0baebc8616b220fa11,MBC,입력 2023-12-19 11:48,중증 난치질환자 자녀·조손가정 영유아 어린이집 우선 입소,"자료사진\n앞으로 파킨슨병 등 중증 난치 질환을 앓는 이들의 자녀들은 어린이집에 우선 입소할 수 있게 됩니다.\n\n보건복지부는 이런 내용을 담은 영유아보육법 시행규칙 일부개정안을 입법예고했습니다.\n\n개정안을 보면 '보육의 우선 제공' 대상에 파킨슨병이나 혈우병, 조현병, 만성신부전 등 ""희귀 난치성 질환을 가진 사람의 영유아 자녀""가 새로 들어갔습니다.\n\n지금까지는 국민기초생활 보장법에 따른 수급자, 한부모가족이나 중증 장애인의 자녀, 아동복지시설에서 생활하는 영유아, 다자녀 가구나 맞벌이 가구의 영유아 자녀, 임신부의 영유아 자녀, 북한이탈주민 가정의 영유아 자녀 등이 우선 입소 대상이었습니다.\n\n복지부 관계자는 ""중증 난치 질환을 앓는 부모들은 병 때문에 보육이 힘든 상황인데도 우선 제공 대상이 아니었다""며 ""이런 어려움을 해결해 달라는 요구가 있어 시행규칙을 개정하는 것""이라고 설명했습니다.\n\n한편 이번 시행규칙 개정안에 따라 '조손가정 영유아' 역시 기존 대상이었던 한부모가족 자녀와 마찬가지로 어린이집에 우선 입소하게 됐습니다.\n\n우선 입소 대상은 '부모의 사망, 이혼 등으로 할아버지나 할머니가 사실상 부모의 역할을 대신하는 가구 가운데 소득인정액이 기준 중위소득 60% 이하인 경우'에 해당합니다.\n\n복지부는 내년 1월 22일까지 일부개정안을 입법예고 한 뒤 법제처 심사 등을 거쳐 늦어도 내년 2월 9일까지는 개정안을 시행한다는 계획입니다."
65dd5c0caebc8616b220fa12,MBC,입력 2023-08-03 07:24,"[문화연예 플러스] 조인성, '밀수' 시사회에 희귀질환 환우 초대","<문화연예플러스> 입니다.\n\n배우 조인성이 펼친 선행이 뒤늦게 알려져 화제입니다.\n\n희귀질환을 앓고 있는 환우를 자신이 출연한 영화 '밀수' 시사회에 초대했는데요.\n\n영화 '밀수' 첫 시사회는 지난달 18일 열렸는데요.\n\n당시 조인성은 자신에게 배분된 시사회 초대권으로, 희귀질환·지체장애 청소년과 가족을 비롯해 보육원 청소년, 담당 사회복지사 등 30여 명을 초대했습니다.\n\n희귀·난치성질환 연합회 관계자는 ""문화생활이 어려운 환우 가족들에게 정말 기쁘고 소중한 경험이었다""며 고마움을 전했는데요.\n\n조인성은 3년 전부터 소아 희귀질환 치료비 후원에 참여하고 있고요.\n\n겨울이 되면 연탄 봉사에 나서며 선한 영향력을 펼치고 있습니다.\n\nMBC 뉴스는 24시간 여러분의 제보를 기다립니다.\n\n▷ 전화 02-784-4000\n▷ 이메일 mbcjebo@mbc.co.kr\n▷ 카카오톡 @mbc제보"
65dd5c0eaebc8616b220fa13,MBC,입력 2023-07-03 07:35,희귀질환 치료제‥기적처럼 개발돼도 '희망고문',"앵커\n\n증상도 치료법도 잘 알려지지 않은 희귀 질환.\n\n치료제가 없어서 환우들과 가족들은 하루하루 애가 타는데요.\n\n기적처럼 치료약이 개발되더라도 약값이 터무니없이 비싸서 오히려 희망고문을 겪는다고 합니다.\n\n조재영 기자입니다.\n\n리포트\n\n7살 형우(가명)는 피부의 신경조직이 파괴되는 희귀질환, '신경섬유종'을 앓고 있습니다.\n\n증상이 나타난 곳은 통증이 극심하고 악성 종양으로 변하면 생명까지 위태로울 수 있습니다.\n\n[형우 아버지]\n(""아들이) 갑자기 '여기가 아파' 그러면 '여기는 (섬유종이) 없는 덴데 뭐지, 새로 생겼나, 어떡하지'‥ 보이지도 않고, 어디에 또 새로 생길지 모르고‥""\n\n신경에 바짝 달라붙어 있어서 수술로 제거할 수도 없습니다.\n\n[형우 아버지]\n""막 자다 울고, 저희가 응급실도 많이 가고‥ 약이 없다는 게 진짜 힘들어요. 병원에 가서도 아프다고 얘기하면 타이레놀 먹으라고 해요.""\n\n그런데 2년 전, 먹기만 하면 섬유종의 크기를 줄일 수 있는 획기적인 신약이 영국에서 개발됐습니다.\n\n미국 FDA 승인에 이어, 우리나라에서는 '신속심사 1호' 약품으로 지정됐습니다.\n\n허가 절차가 신속하게 진행됐고, 이제 국내에서도 구입이 가능합니다.\n\n그런데 약값이 결정되자, 엄마 아빠의 희망은 곧 '희망고문'으로 변했습니다.\n\n[형우 아버지]\n""(약이) 한 달에 3만 불이에요, 이거 죽을 때까지. 4억 정도 할 거예요, 1년에. 진짜 이게 뭐지? 이런 생각을 해요.""\n\n또 다른 신경섬유종 환자, 15살 지성이는 임상실험에 뽑혀 신약을 6개월째 먹고 있습니다.\n\n섬유종이 기도를 눌러 늘 호흡곤란을 겪던 지성이의 상태가 처음으로 호전됐습니다.\n\n[지성 아버지]\n""(아들의) 무호흡증이 없어지더라고요. 그게 너무나도 행복한 것 같아요. <숨을 정말 편하게> 네, 편하게 쉴 수 있으니까.""\n\n하지만 임상실험이 올해 종료되면서 약값 부담이 현실로 다가왔습니다.\n\n[이범희 교수/서울아산병원 의학유전학센터]\n""저희도 지금 굉장히 난감해요. 이 약을 끊으면 섬유종이 다시 자라거든요. 끊는 것 자체도 굉장히 위험한‥""\n\n국내 신경섬유종 환자는 7천 명 정도.\n\n이들이 바라는 건, 치료약이 건강보험 급여 항목으로 인정되는 것뿐입니다.\n\n그렇더라도 본인부담금으로 매달 3백만 원 이상을 약값으로 써야하지만 아이가 클수록 섬유종도 커지니 환자들은 한시가 급합니다.\n\n[형우 아버지]\n""빨리 약을 좀 먹었으면 하는 바람밖에 없어요. 다른 게 없습니다.""\n\n급여 승인을 결정하는 정부 논의는 이번 주부터 시작됩니다.\n\n우리나라의 희귀의약품 지출 비용은 전체 약제비의 1%대, OECD 국가들 중에서 아직 한참 낮은 수준입니다.\n\nMBC뉴스 조재영입니다.\n\nMBC 뉴스는 24시간 여러분의 제보를 기다립니다.\n\n▷ 전화 02-784-4000\n▷ 이메일 mbcjebo@mbc.co.kr\n▷ 카카오톡 @mbc제보"
65dd5c0faebc8616b220fa14,MBC,입력 2023-10-20 06:53,"[문화연예 플러스] 권오중 ""희귀병 아들, 학폭·왕따 겪어‥부모로서 후회""","[권오중/배우]\n""그때 제가 참았어요. 저는 연예인이었고‥그런데 그때 못한 게 너무 후회되는 거예요.""\n\n배우 권오중이, 희귀병을 앓는 아들이 겪은 학교 폭력을 털어놓으며, 부모로서 후회한다고 말했습니다.\n\n배우 신애라의 유튜브 채널에 출연한 권오중은 아들의 이야기를 전하다 눈물을 보였는데요.\n\n권오중 아들의 병은 병명도 따로 없고, 우리나라에 단 1명, 전 세계에 15명 정도가 앓고 있는 희귀 질환으로 알려져 있죠.\n\n권 씨는 아들이 초등학교와 중학교에서 왕따와 폭행을 당했다며, 중학교 때는 여러 명이 1년간 아들을 때려 가해자가 전학을 가기도 했다고 말했습니다.\n\n하루는, 아들이 쳐다봤다는 이유로 가해자가 유리창을 깨, 그 파편이 아들 목에 박힌 일까지 있었다는데요.\n\n권오중은 당시, 자신이 연예인이라서 참고 넘어갔는데, 그때 적극적으로 나서 아들에게 자기편이 있다는 걸 보여주지 못한 게 너무 후회된다고 밝혀, 안타까움을 샀습니다.\n\nMBC 뉴스는 24시간 여러분의 제보를 기다립니다.\n\n▷ 전화 02-784-4000\n▷ 이메일 mbcjebo@mbc.co.kr\n▷ 카카오톡 @mbc제보"
65dd5c11aebc8616b220fa15,MBC,입력 2023-05-26 14:42,희귀난치 신경질환 '샤르코마리투스병' 치료 연구 심의 통과,"샤르코마리투스병 [한국근육장애인협회 웹사이트 캡처]\n샤르코마리투스병을 치료하는 연구가 정부의 첨단재생의료 임상 연구과제 심의에서 적합 판정을 받았습니다.\n\n보건복지부는 오늘 다른 사람의 탯줄에서 유래한 중간엽줄기세포를 이용해 '샤르코마리투스병 1E' 환자를 치료하는 연구가 첨단재생의료 및 첨단바이오의약품 심의위를 통과했다고 밝혔습니다.\n\n'샤르코마리투스병 1E'는 희귀·난치 유전성 말초신경질환으로 발병 시 사지근육이 위축되고 감각 소실, 균형·보행 장애, 실명 등의 증상이 나타납니다.\n\n아직 허가된 치료제가 없고 증상 완화를 위한 대증적 약물요법과 재활치료 역시 효과가 거의 없는 상황입니다.\n\n연구진은 보행 및 균형 기능, 신경 재생 기능 등 탐색적 치료 효과를 보일 것으로 기대하고 있는데, 고위험 임상 연구라 식품의약품안전처장의 추가 승인이 필요하다고 복지부는 밝혔습니다."
65dd5c12aebc8616b220fa16,MBC,입력 2023-03-18 20:24,[집중취재M] 기댈 곳 없는 희귀질환자들‥'1%의 1%' 어쩌나,"앵커\n\n희귀질환들은 완치 방법이 없는 경우가 많아서, 환자와 가족들에게는 평생의 경제적 부담이 따르게 됩니다.\n\n국가가 '희귀질환'을 따로 분류해서 치료비를 지원하는 제도가 있지만, 여전히 사각지대에 놓여 있는 희귀질환자들이 적지 않습니다.\n\n조재영 기자가 취재했습니다.\n\n리포트\n\n6살인 은우는 아직도 유모차를 탑니다.\n\n키는 100cm가 안 되고 몸무게는 14kg, 또래 기준으로 하위 1%의 왜소한 체격입니다.\n\n태어난 지 한 달 만에 '괴사성 장염'이 생겨서, 소장을 10cm만 남기고 전부 잘라냈습니다.\n\n소화 흡수가 안 되는 희귀질환, '단장증후군'을 앓게 된 겁니다.\n\n음식을 먹지 못하니 콧줄로 특수 분유를 넣고, 매일 밤 10시간씩 어깨에 꽂은 줄로 영양 주사를 맞습니다.\n\n[은우 어머니/단장증후군 환자 가족]\n""소장이라는 장기 자체가 이식이 되게 어렵다고 하더라고요. 이 길이가 정상이 되는 건 아니기 때문에 저희는 그러니까 어떻게 보면 불치병인 거죠.""\n\n매달 들어가는 병원비만 최소 2~3백만 원입니다.\n\n단장증후군 중에서도 선천성 환자는 '국가관리 희귀질환'으로 인정받지만, 은우 같은 후천적 환자의 경우는 해당되지 않기 때문입니다.\n\n[김현영/서울대병원 소아외과 교수]\n""2차성인 경우에 (한 해에) 약 2명에서 5명 이내입니다. 그러니까 '극 희귀질환'으로 볼 수 있지만 모든 지원에서 벗어나 있는 셈이죠.""\n\n'농포'로 불리는 고름 물집이 온몸을 뒤덮고 있습니다.\n\n농포가 터져 진물이 흐르고, 피부가 굳으면 껍질이 계속 벗겨집니다.\n\n면역체계에 이상이 생겨 발생하는 피부질환인 '건선' 중에서, 1% 미만의 확률로 나타나는 '전신농포건선'입니다.\n\n김재진 씨는 5살 때부터 이 병을 앓았습니다.\n\n[김재진/전신농포건선 환자]\n""한 번씩 내복을 털면 (각질이) 과자 한 상자 있죠? 이런 거 하나 정도는 가볍게 채워요.""\n\n갑자기 상태가 악화되면 고열과 합병증이 와서 장기간 입원해야 하다 보니, 다니던 회사를 여러 차례 그만뒀고 지금도 무직입니다.\n\n[김재진/전신농포건선 환자]\n""(치료 1번에) 80만 원에서 100만 원씩 병원비 들어가고, 일상생활 못하고, 직장에서는 쫓겨나고 그러니까 금전적인 게 제일 힘들어요.""\n\n일반 '건선'은 중증일 경우 국가 지원을 받지만, 전체 약 3천 명 수준으로 추정되는 전신농포건선 환자들은 지금도 예외입니다.\n\n이 같은 희귀질환 환자들은 치료비는 물론 사회적 편견에도 맞서야 합니다.\n\n[박은주/한림대성심병원 피부과 교수]\n""감염성 질환이 아님에도 불구하고 전염이 될 수 있을 것이라는 오해와 편견 속에 환자들은 대부분 우울증이나 대인기피증을 겪게 돼서…""\n\n현재 국가가 관리하는 희귀질환은 1,165개.\n\n하지만 일상과 생계를 위협받는 사각지대가 여전히 존재하고 있습니다.\n\nMBC뉴스 조재영입니다.\n\n영상취재 : 손지윤, 한지은 / 영상편집 : 박정호\n\nMBC 뉴스는 24시간 여러분의 제보를 기다립니다.\n\n▷ 전화 02-784-4000\n▷ 이메일 mbcjebo@mbc.co.kr\n▷ 카카오톡 @mbc제보"
65dd5c13aebc8616b220fa17,MBC,입력 2023-08-01 20:10,"첨단산업 희귀병 소송 평균 4년‥70%는 ""산재 맞다"" 판결","앵커\n\n이틀 연속 이 사안에 대해서 전해드린 이유경 기자와 함께 조금 더 이야기 나눠보겠습니다.\n\n이 기자, 조금 전 보도에서도 산업 재해가 인정되기까지 몇 년씩 걸린 사례들이 있었는데, 이런 희귀병의 산재 인정, 보통 평균적으로 얼마나 걸리나요?\n\n기자\n\n네, 대법원 판결문 검색 시스템에서 첨단산업, 희귀질환 두 단어를 검색해, 최근 6년간 판결문 24건을 분석했습니다.\n\n산재 신청일로부터 판결까지 1년 8개월에서 최장 6년 1개월까지, 평균 4년 걸렸습니다.\n\n질병별로는 백혈병 5건, 파킨슨병 5건, 암 4건, 재생불량성 빈혈 3건이었는데요.\n\n이런 중증질환으로 생업을 포기하고 가족이 병수발까지 드는 상황.\n\n4년의 시간 결코 짧진 않을 겁니다.\n\n앵커\n\n스물네 건의 판결 중에 산업 재해로 인정하라고 노동자의 편을 들어준 판결은 얼마나 있었습니까?\n\n기자\n\n24건 중 70%, 17건이 노동자들 산업재해 인정 판결이었습니다.\n\n특히 반도체·디스플레이 노동자 12명은 100% 재판에서 이겼습니다.\n\n대법원이 지난 2017년 ""인과관계가 명확하지 않아도, 상당히 타당해 보이면 산재로 인정하라""는 전향적인 판결을 내놓았는데, 하급심 법원들도 이 판례를 따르고 있는 겁니다.\n\n전문가 설명 들어보시죠.\n\n[임자운/변호사]\n""산업안전보건상의 위험을 개인이나 기업에게 전가시키는 게 아니라 사회가 분담하고자 만든 게 산재보상보험 제도이고, 이분들을 보호할 수 있도록 적극적으로 해석할 필요가 있다.""\n\n앵커\n\n앞서 보니까 근로복지공단의 판단은 보다 엄격한 것 같은데, 어떤 점을 좀 보완할 수 있을까요?\n\n기자\n\n네, 근로복지공단 질병판정위원회는 주로 의사로 구성돼 있어, 여전히 의학적 인과관계에 무게를 둡니다.\n\n위원회 구성을 다양화하자는 의견이 있고요.\n\n또, 선보상 후판정, 일단 노동자 생계부터 지원할 수 있게, 제도를 손보자는 의견도 있었습니다.\n\n앵커\n\n네, 여기까지 듣겠습니다.\n\n이유경 기자, 잘 들었습니다.\n\nMBC 뉴스는 24시간 여러분의 제보를 기다립니다.\n\n▷ 전화 02-784-4000\n▷ 이메일 mbcjebo@mbc.co.kr\n▷ 카카오톡 @mbc제보"
